query_id,embedding_type,query_niche_id,source_slice,target_slice,niche_query_k
25,gene_expr_quest,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-3.001,3
26,scgpt,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-3.001,3
27,gene_expr,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-3.001,3
28,gene_expr_quest,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-3.002,3
29,scgpt,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-3.002,3
30,gene_expr,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-3.002,3
31,gene_expr_quest,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-3.004,3
32,scgpt,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-3.004,3
33,gene_expr,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-3.004,3
34,gene_expr_quest,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-3.005,3
35,scgpt,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-3.005,3
36,gene_expr,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-3.005,3
37,gene_expr_quest,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,C57BL6J-638850.28,3
38,scgpt,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,C57BL6J-638850.28,3
39,gene_expr,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,C57BL6J-638850.28,3
40,gene_expr_quest,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,C57BL6J-638850.29,3
41,scgpt,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,C57BL6J-638850.29,3
42,gene_expr,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,C57BL6J-638850.29,3
43,gene_expr_quest,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,C57BL6J-638850.30,3
44,scgpt,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,C57BL6J-638850.30,3
45,gene_expr,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,C57BL6J-638850.30,3
46,gene_expr_quest,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,C57BL6J-638850.31,3
47,scgpt,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,C57BL6J-638850.31,3
48,gene_expr,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,C57BL6J-638850.31,3
49,gene_expr_quest,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-1.096,3
50,scgpt,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-1.096,3
51,gene_expr,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-1.096,3
52,gene_expr_quest,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-1.097,3
53,scgpt,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-1.097,3
54,gene_expr,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-1.097,3
55,gene_expr_quest,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-1.098,3
56,scgpt,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-1.098,3
57,gene_expr,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-1.098,3
58,gene_expr_quest,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-1.099,3
59,scgpt,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-1.099,3
60,gene_expr,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-1.099,3
61,gene_expr_quest,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-3.001,3
62,scgpt,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-3.001,3
63,gene_expr,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-3.001,3
64,gene_expr_quest,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-3.002,3
65,scgpt,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-3.002,3
66,gene_expr,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-3.002,3
67,gene_expr_quest,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-3.004,3
68,scgpt,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-3.004,3
69,gene_expr,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-3.004,3
70,gene_expr_quest,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-3.005,3
71,scgpt,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-3.005,3
72,gene_expr,Zhuang-ABCA-1.097_query_niche_207_123,Zhuang-ABCA-1.097,Zhuang-ABCA-3.005,3
73,gene_expr_quest,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,C57BL6J-638850.28,3
74,scgpt,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,C57BL6J-638850.28,3
75,gene_expr,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,C57BL6J-638850.28,3
76,gene_expr_quest,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,C57BL6J-638850.29,3
77,scgpt,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,C57BL6J-638850.29,3
78,gene_expr,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,C57BL6J-638850.29,3
79,gene_expr_quest,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,C57BL6J-638850.30,3
80,scgpt,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,C57BL6J-638850.30,3
81,gene_expr,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,C57BL6J-638850.30,3
82,gene_expr_quest,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,C57BL6J-638850.31,3
83,scgpt,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,C57BL6J-638850.31,3
84,gene_expr,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,C57BL6J-638850.31,3
85,gene_expr_quest,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-1.096,3
86,scgpt,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-1.096,3
87,gene_expr,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-1.096,3
88,gene_expr_quest,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-1.097,3
89,scgpt,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-1.097,3
90,gene_expr,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-1.097,3
91,gene_expr_quest,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-1.098,3
92,scgpt,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-1.098,3
93,gene_expr,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-1.098,3
94,gene_expr_quest,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-1.099,3
95,scgpt,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-1.099,3
96,gene_expr,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-1.099,3
97,gene_expr_quest,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-3.001,3
98,scgpt,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-3.001,3
99,gene_expr,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-3.001,3
100,gene_expr_quest,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-3.002,3
101,scgpt,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-3.002,3
102,gene_expr,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-3.002,3
103,gene_expr_quest,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-3.004,3
104,scgpt,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-3.004,3
105,gene_expr,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-3.004,3
106,gene_expr_quest,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-3.005,3
107,scgpt,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-3.005,3
108,gene_expr,Zhuang-ABCA-1.098_query_niche_207_123,Zhuang-ABCA-1.098,Zhuang-ABCA-3.005,3
109,gene_expr_quest,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,C57BL6J-638850.28,3
110,scgpt,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,C57BL6J-638850.28,3
111,gene_expr,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,C57BL6J-638850.28,3
112,gene_expr_quest,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,C57BL6J-638850.29,3
113,scgpt,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,C57BL6J-638850.29,3
114,gene_expr,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,C57BL6J-638850.29,3
115,gene_expr_quest,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,C57BL6J-638850.30,3
116,scgpt,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,C57BL6J-638850.30,3
117,gene_expr,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,C57BL6J-638850.30,3
118,gene_expr_quest,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,C57BL6J-638850.31,3
119,scgpt,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,C57BL6J-638850.31,3
120,gene_expr,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,C57BL6J-638850.31,3
121,gene_expr_quest,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-1.096,3
122,scgpt,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-1.096,3
123,gene_expr,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-1.096,3
124,gene_expr_quest,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-1.097,3
125,scgpt,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-1.097,3
126,gene_expr,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-1.097,3
127,gene_expr_quest,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-1.098,3
128,scgpt,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-1.098,3
129,gene_expr,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-1.098,3
130,gene_expr_quest,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-1.099,3
131,scgpt,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-1.099,3
132,gene_expr,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-1.099,3
133,gene_expr_quest,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-3.001,3
134,scgpt,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-3.001,3
135,gene_expr,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-3.001,3
136,gene_expr_quest,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-3.002,3
137,scgpt,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-3.002,3
138,gene_expr,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-3.002,3
139,gene_expr_quest,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-3.004,3
140,scgpt,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-3.004,3
141,gene_expr,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-3.004,3
142,gene_expr_quest,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-3.005,3
143,scgpt,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-3.005,3
144,gene_expr,Zhuang-ABCA-1.099_query_niche_207_123,Zhuang-ABCA-1.099,Zhuang-ABCA-3.005,3
145,gene_expr_quest,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,C57BL6J-638850.28,3
146,scgpt,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,C57BL6J-638850.28,3
147,gene_expr,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,C57BL6J-638850.28,3
148,gene_expr_quest,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,C57BL6J-638850.29,3
149,scgpt,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,C57BL6J-638850.29,3
150,gene_expr,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,C57BL6J-638850.29,3
151,gene_expr_quest,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,C57BL6J-638850.30,3
152,scgpt,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,C57BL6J-638850.30,3
153,gene_expr,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,C57BL6J-638850.30,3
154,gene_expr_quest,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,C57BL6J-638850.31,3
155,scgpt,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,C57BL6J-638850.31,3
156,gene_expr,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,C57BL6J-638850.31,3
157,gene_expr_quest,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-1.096,3
158,scgpt,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-1.096,3
159,gene_expr,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-1.096,3
160,gene_expr_quest,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-1.097,3
161,scgpt,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-1.097,3
162,gene_expr,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-1.097,3
163,gene_expr_quest,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-1.098,3
164,scgpt,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-1.098,3
165,gene_expr,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-1.098,3
166,gene_expr_quest,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-1.099,3
167,scgpt,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-1.099,3
168,gene_expr,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-1.099,3
169,gene_expr_quest,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-3.001,3
170,scgpt,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-3.001,3
171,gene_expr,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-3.001,3
172,gene_expr_quest,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-3.002,3
173,scgpt,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-3.002,3
174,gene_expr,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-3.002,3
175,gene_expr_quest,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-3.004,3
176,scgpt,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-3.004,3
177,gene_expr,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-3.004,3
178,gene_expr_quest,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-3.005,3
179,scgpt,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-3.005,3
180,gene_expr,C57BL6J-638850.28_query_niche_9_15,C57BL6J-638850.28,Zhuang-ABCA-3.005,3
181,gene_expr_quest,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,C57BL6J-638850.28,3
182,scgpt,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,C57BL6J-638850.28,3
183,gene_expr,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,C57BL6J-638850.28,3
184,gene_expr_quest,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,C57BL6J-638850.29,3
185,scgpt,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,C57BL6J-638850.29,3
186,gene_expr,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,C57BL6J-638850.29,3
187,gene_expr_quest,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,C57BL6J-638850.30,3
188,scgpt,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,C57BL6J-638850.30,3
189,gene_expr,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,C57BL6J-638850.30,3
190,gene_expr_quest,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,C57BL6J-638850.31,3
191,scgpt,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,C57BL6J-638850.31,3
192,gene_expr,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,C57BL6J-638850.31,3
193,gene_expr_quest,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-1.096,3
194,scgpt,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-1.096,3
195,gene_expr,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-1.096,3
196,gene_expr_quest,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-1.097,3
197,scgpt,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-1.097,3
198,gene_expr,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-1.097,3
199,gene_expr_quest,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-1.098,3
200,scgpt,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-1.098,3
201,gene_expr,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-1.098,3
202,gene_expr_quest,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-1.099,3
203,scgpt,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-1.099,3
204,gene_expr,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-1.099,3
205,gene_expr_quest,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-3.001,3
206,scgpt,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-3.001,3
207,gene_expr,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-3.001,3
208,gene_expr_quest,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-3.002,3
209,scgpt,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-3.002,3
210,gene_expr,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-3.002,3
211,gene_expr_quest,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-3.004,3
212,scgpt,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-3.004,3
213,gene_expr,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-3.004,3
214,gene_expr_quest,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-3.005,3
215,scgpt,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-3.005,3
216,gene_expr,C57BL6J-638850.29_query_niche_9_15,C57BL6J-638850.29,Zhuang-ABCA-3.005,3
217,gene_expr_quest,C57BL6J-638850.30_query_niche_9_15,C57BL6J-638850.30,C57BL6J-638850.28,3
218,scgpt,C57BL6J-638850.30_query_niche_9_15,C57BL6J-638850.30,C57BL6J-638850.28,3
219,gene_expr,C57BL6J-638850.30_query_niche_9_15,C57BL6J-638850.30,C57BL6J-638850.28,3
220,gene_expr_quest,C57BL6J-638850.30_query_niche_9_15,C57BL6J-638850.30,C57BL6J-638850.29,3
221,scgpt,C57BL6J-638850.30_query_niche_9_15,C57BL6J-638850.30,C57BL6J-638850.29,3
222,gene_expr,C57BL6J-638850.30_query_niche_9_15,C57BL6J-638850.30,C57BL6J-638850.29,3
223,gene_expr_quest,C57BL6J-638850.30_query_niche_9_15,C57BL6J-638850.30,C57BL6J-638850.30,3
224,scgpt,C57BL6J-638850.30_query_niche_9_15,C57BL6J-638850.30,C57BL6J-638850.30,3
225,gene_expr,C57BL6J-638850.30_query_niche_9_15,C57BL6J-638850.30,C57BL6J-638850.30,3
226,gene_expr_quest,C57BL6J-638850.30_query_niche_9_15,C57BL6J-638850.30,C57BL6J-638850.31,3
