query_niche_id,source_slice,niche_name,center_cell,k_hop,cells,parcellations_in_niche,parcellation_composition,parcellation_names
"C57BL6J-638850.31_query_niche_15_785","C57BL6J-638850.31","query_niche_15_785","1018093345101820406","10","100","15;785","54;46","Parataenial nucleus;Ventromedial hypothalamic nucleus, ventrolateral part"
"Zhuang-ABCA-3.001_query_niche_9_15","Zhuang-ABCA-3.001","query_niche_9_15","330009557710455467430590749806470597406","10","100","9;15","55;45","Primary somatosensory area, trunk, layer 6a;Parataenial nucleus"
"Zhuang-ABCA-3.001_query_niche_15_785","Zhuang-ABCA-3.001","query_niche_15_785","40542707823758828197873229126387300219","10","100","15;785","57;43","Parataenial nucleus;Ventromedial hypothalamic nucleus, ventrolateral part"
"Zhuang-ABCA-3.002_query_niche_9_15","Zhuang-ABCA-3.002","query_niche_9_15","170715652725825516605964933975721851941","10","100","9;15","59;41","Primary somatosensory area, trunk, layer 6a;Parataenial nucleus"
"Zhuang-ABCA-3.002_query_niche_15_785","Zhuang-ABCA-3.002","query_niche_15_785","321553463264008828517722965783841051051","10","100","15;785","55;45","Parataenial nucleus;Ventromedial hypothalamic nucleus, ventrolateral part"
"Zhuang-ABCA-3.004_query_niche_9_15","Zhuang-ABCA-3.004","query_niche_9_15","133390297703739907750126365040616661015","10","100","9;15","41;59","Primary somatosensory area, trunk, layer 6a;Parataenial nucleus"
"Zhuang-ABCA-3.004_query_niche_15_785","Zhuang-ABCA-3.004","query_niche_15_785","90437741252668153712762276055573489625","10","100","15;785","43;57","Parataenial nucleus;Ventromedial hypothalamic nucleus, ventrolateral part"
"Zhuang-ABCA-3.005_query_niche_9_15","Zhuang-ABCA-3.005","query_niche_9_15","296258197712787155820565355335123648970","10","100","9;15","47;53","Primary somatosensory area, trunk, layer 6a;Parataenial nucleus"
"Zhuang-ABCA-1.096_query_niche_9_15","Zhuang-ABCA-1.096","query_niche_9_15","141882954587631319016158926360491443763","10","100","9;15","59;41","Primary somatosensory area, trunk, layer 6a;Parataenial nucleus"
"Zhuang-ABCA-1.096_query_niche_15_785","Zhuang-ABCA-1.096","query_niche_15_785","106850482051567951664398502462376803379","10","100","15;785","41;59","Parataenial nucleus;Ventromedial hypothalamic nucleus, ventrolateral part"
"Zhuang-ABCA-1.096_query_niche_9_841","Zhuang-ABCA-1.096","query_niche_9_841","318078662208965018700003888998714024701","10","100","9;841","53;47","Primary somatosensory area, trunk, layer 6a;trapezoid body"
"Zhuang-ABCA-1.097_query_niche_9_15","Zhuang-ABCA-1.097","query_niche_9_15","187176816205476201907158879490928420014","10","100","9;15","55;45","Primary somatosensory area, trunk, layer 6a;Parataenial nucleus"
"Zhuang-ABCA-1.097_query_niche_9_841","Zhuang-ABCA-1.097","query_niche_9_841","128844379575519809334801615522000896725","10","100","9;841","54;46","Primary somatosensory area, trunk, layer 6a;trapezoid body"
"Zhuang-ABCA-1.097_query_niche_15_785","Zhuang-ABCA-1.097","query_niche_15_785","191365511123218672196852763356899566690","10","100","15;785","48;52","Parataenial nucleus;Ventromedial hypothalamic nucleus, ventrolateral part"
"Zhuang-ABCA-1.098_query_niche_9_15","Zhuang-ABCA-1.098","query_niche_9_15","248874126197335237153495377230653179351","10","100","9;15","40;60","Primary somatosensory area, trunk, layer 6a;Parataenial nucleus"
"Zhuang-ABCA-1.098_query_niche_9_841","Zhuang-ABCA-1.098","query_niche_9_841","174908569322155454728492221963063498843","10","100","9;841","51;49","Primary somatosensory area, trunk, layer 6a;trapezoid body"
"Zhuang-ABCA-1.098_query_niche_15_785","Zhuang-ABCA-1.098","query_niche_15_785","11866919812839586496325836620308175489","10","100","15;785","46;54","Parataenial nucleus;Ventromedial hypothalamic nucleus, ventrolateral part"
"Zhuang-ABCA-1.099_query_niche_9_15","Zhuang-ABCA-1.099","query_niche_9_15","190981615443374461845656279568196095680","10","100","9;15","57;43","Primary somatosensory area, trunk, layer 6a;Parataenial nucleus"
"Zhuang-ABCA-1.099_query_niche_9_841","Zhuang-ABCA-1.099","query_niche_9_841","112295489902014032253572300455460479139","10","100","9;841","49;51","Primary somatosensory area, trunk, layer 6a;trapezoid body"
"Zhuang-ABCA-1.099_query_niche_15_785","Zhuang-ABCA-1.099","query_niche_15_785","1887233951937186637060332654528672791","10","100","15;785","54;46","Parataenial nucleus;Ventromedial hypothalamic nucleus, ventrolateral part"
